,0
AN.delta.tested,1376
AN.delta.vaccinated1,3
AN.delta.vaccinated2,13
AN.delta21_14.confirmed,9
AN.delta7.confirmed,3
AN.delta7.recovered,5
AN.delta7.tested,8936
AN.delta7.vaccinated1,884
AN.delta7.vaccinated2,10640
AN.districts.Nicobars.delta7.vaccinated1,62
AN.districts.Nicobars.delta7.vaccinated2,811
AN.districts.Nicobars.meta.population,36842
AN.districts.Nicobars.total.vaccinated1,25394
AN.districts.Nicobars.total.vaccinated2,20313
AN.districts.North and Middle Andaman.delta.vaccinated2,8
AN.districts.North and Middle Andaman.delta7.vaccinated1,90
AN.districts.North and Middle Andaman.delta7.vaccinated2,1839
AN.districts.North and Middle Andaman.meta.population,105597
AN.districts.North and Middle Andaman.total.vaccinated1,78945
AN.districts.North and Middle Andaman.total.vaccinated2,59522
AN.districts.South Andaman.delta.vaccinated1,3
AN.districts.South Andaman.delta.vaccinated2,28
AN.districts.South Andaman.delta7.vaccinated1,732
AN.districts.South Andaman.delta7.vaccinated2,8012
AN.districts.South Andaman.meta.population,238142
AN.districts.South Andaman.total.vaccinated1,189662
AN.districts.South Andaman.total.vaccinated2,120322
AN.districts.Unknown.delta21_14.confirmed,9
AN.districts.Unknown.delta7.confirmed,3
AN.districts.Unknown.delta7.recovered,5
AN.districts.Unknown.total.confirmed,7651
AN.districts.Unknown.total.deceased,129
AN.districts.Unknown.total.recovered,7518
AN.meta.date,2021-10-31
AN.meta.last_updated,2021-11-01T11:03:10+05:30
AN.meta.population,397000
AN.meta.tested.date,2021-10-31
AN.meta.tested.source,https://dhs.andaman.gov.in/NewEvents/851.pdf
AN.meta.vaccinated.date,2021-10-31
AN.total.confirmed,7651
AN.total.deceased,129
AN.total.recovered,7518
AN.total.tested,598033
AN.total.vaccinated1,294001
AN.total.vaccinated2,200157
AP.delta.confirmed,385
AP.delta.deceased,4
AP.delta.recovered,675
AP.delta.tested,39848
AP.delta.vaccinated1,20497
AP.delta.vaccinated2,24137
AP.delta21_14.confirmed,3220
AP.delta7.confirmed,2873
AP.delta7.deceased,30
AP.delta7.recovered,3590
AP.delta7.tested,254532
AP.delta7.vaccinated1,1223010
AP.delta7.vaccinated2,1887005
AP.districts.Anantapur.delta.confirmed,4
AP.districts.Anantapur.delta.recovered,5
AP.districts.Anantapur.delta.vaccinated1,4575
AP.districts.Anantapur.delta.vaccinated2,5370
AP.districts.Anantapur.delta21_14.confirmed,50
AP.districts.Anantapur.delta7.confirmed,38
AP.districts.Anantapur.delta7.recovered,58
AP.districts.Anantapur.delta7.vaccinated1,92803
AP.districts.Anantapur.delta7.vaccinated2,140903
AP.districts.Anantapur.meta.population,4083315
AP.districts.Anantapur.meta.tested.date,2020-11-26
AP.districts.Anantapur.total.confirmed,157843
AP.districts.Anantapur.total.deceased,1093
AP.districts.Anantapur.total.recovered,156699
AP.districts.Anantapur.total.tested,787085
AP.districts.Anantapur.total.vaccinated1,2690082
AP.districts.Anantapur.total.vaccinated2,1611476
AP.districts.Chittoor.delta.confirmed,64
AP.districts.Chittoor.delta.deceased,1
AP.districts.Chittoor.delta.recovered,87
AP.districts.Chittoor.delta.vaccinated1,878
AP.districts.Chittoor.delta.vaccinated2,1306
AP.districts.Chittoor.delta21_14.confirmed,631
AP.districts.Chittoor.delta7.confirmed,516
AP.districts.Chittoor.delta7.deceased,6
AP.districts.Chittoor.delta7.recovered,629
AP.districts.Chittoor.delta7.vaccinated1,63824
AP.districts.Chittoor.delta7.vaccinated2,119541
AP.districts.Chittoor.meta.population,4170468
AP.districts.Chittoor.meta.tested.date,2020-11-26
AP.districts.Chittoor.total.confirmed,246935
AP.districts.Chittoor.total.deceased,1947
AP.districts.Chittoor.total.recovered,244144
AP.districts.Chittoor.total.tested,780322
AP.districts.Chittoor.total.vaccinated1,2832987
