State_Code,District_Name,Population,Confirmed,Deceased,Tested,Recovered,First_Dose,Second_Dose
AN,Nicobars,36842,0,0,0,0,25456,21124
AN,"North and Middle Andaman",105597,0,0,0,0,79035,61369
AN,"South Andaman",238142,0,0,0,0,190397,128362
AN,Unknown,0,7663,129,0,7523,0,0
AP,Anantapur,4083315,157935,1093,787111,156762,2787460,1757749
AP,Chittoor,4170468,248146,1954,780348,244860,2897689,1928720
AP,"East Godavari",5151549,294928,1290,944772,292251,3569234,2214051
AP,"Foreign Evacuees",0,434,0,0,434,0,0
AP,Guntur,4889230,178882,1241,833849,177446,3726614,2049839
AP,Krishna,4529009,120221,1440,782258,117668,3047007,2146052
AP,Kurnool,4046601,124204,853,867387,123293,2856095,1365076
AP,"Other State",0,2461,0,0,2461,0,0
AP,Prakasam,3392764,138834,1127,697366,137316,2461661,1657262
AP,S,0,0,0,0,0,0,0
AP,Srikakulam,2699471,123307,786,670925,122228,1649133,1104315
AP,Visakhapatnam,4288113,158274,1128,745009,156749,3066042,2074611
AP,Vizianagaram,2342868,83057,674,531459,82280,1438939,1121528
AP,"West Godavari",3934782,179522,1121,793124,177970,2587216,1927253
AP,Y,0,0,0,0,0,0,0
AR,Anjaw,21089,1068,3,2873,1065,11740,8409
AR,"Capital Complex",0,0,0,115234,0,0,0
AR,Changlang,147951,3810,22,23889,3784,89155,59164
AR,"East Kameng",78413,1094,0,7517,1094,23007,16056
AR,"East Siang",99019,3217,17,21895,3198,54366,41447
AR,Kamle,22256,512,0,1413,512,6982,4059
AR,"Kra Daadi",0,270,0,3246,270,6280,3295
AR,"Kurung Kumey",89717,511,1,4229,510,9148,5856
AR,"Lepa Rada",0,874,3,6775,872,13374,10537
AR,Lohit,145538,2896,26,14973,2854,31341,23497
AR,Longding,60000,753,2,10370,749,19305,8182
AR,"Lower Dibang Valley",53986,2446,11,12197,2400,32829,23021
AR,"Lower Siang",80597,738,8,7098,730,16602,10307
AR,"Lower Subansiri",82839,3048,15,10592,3017,27003,19630
AR,Namsai,95950,2136,17,20015,2118,63748,49540
AR,"Pakke Kessang",0,454,0,3355,453,8029,5274
AR,"Papum Pare",176385,18346,98,41988,18225,142223,104057
AR,"Shi Yomi",13310,266,0,2197,271,6912,5816
AR,Siang,31920,411,3,4298,408,14448,9265
AR,Tawang,49950,2601,20,14252,2541,29644,24046
AR,Tirap,111997,1109,5,14685,1104,31600,21831
AR,"Upper Dibang Valley",7948,338,2,1938,336,4159,2614
AR,"Upper Siang",35289,1018,1,6592,1017,18632,14082
AR,"Upper Subansiri",83205,1958,6,6245,1952,24935,17512
AR,"West Kameng",87013,3563,14,28183,3546,55931,42324
AR,"West Siang",112272,1872,6,13220,1854,33836,28507
AS,Baksa,953773,0,0,0,0,556998,151915
AS,Barpeta,1693190,0,0,0,0,1105912,497585
AS,Biswanath,612491,0,0,0,0,462256,250819
AS,Bongaigaon,732639,0,0,0,0,496111,203425
AS,Cachar,1736319,0,0,0,0,1130241,425092
AS,Charaideo,0,0,0,0,0,310981,128113
AS,Chirang,481818,0,0,0,0,291206,112059
AS,Darrang,908090,0,0,0,0,614601,205794
AS,Dhemaji,688077,0,0,0,0,435270,199616
AS,Dhubri,1948632,0,0,0,0,958756,257246
AS,Dibrugarh,1327748,0,0,301658,0,924208,473502
AS,"Dima Hasao",213529,0,0,0,0,119010,66389
