State_Code,District_Name,Type,Confirmed_Case,First_Dose,Second_Dose
AN,Nicobars,delta7,0,62,811
AN,"North and Middle Andaman",delta7,0,90,1839
AN,"South Andaman",delta7,0,732,8012
AN,Unknown,delta7,3,0,0
AP,Anantapur,delta7,38,92803,140903
AP,Chittoor,delta7,516,63824,119541
AP,"East Godavari",delta7,604,36973,223236
AP,Guntur,delta7,272,285377,156818
AP,Krishna,delta7,422,75352,230788
AP,Kurnool,delta7,25,178620,73119
AP,Prakasam,delta7,103,137338,130213
AP,Srikakulam,delta7,132,18883,129575
AP,Visakhapatnam,delta7,237,65301,207340
AP,Vizianagaram,delta7,53,44847,123576
AP,"West Godavari",delta7,234,61021,146562
AR,Anjaw,delta7,0,45,452
AR,Changlang,delta7,3,298,3803
AR,"East Kameng",delta7,0,76,409
AR,"East Siang",delta7,9,365,2013
AR,Kamle,delta7,0,36,185
AR,"Kra Daadi",delta7,0,5,23
AR,"Kurung Kumey",delta7,0,27,255
AR,"Lepa Rada",delta7,0,40,307
AR,Lohit,delta7,9,221,1494
AR,Longding,delta7,1,46,356
AR,"Lower Dibang Valley",delta7,14,171,931
AR,"Lower Siang",delta7,0,37,317
AR,"Lower Subansiri",delta7,5,85,767
AR,Namsai,delta7,4,209,2436
AR,"Pakke Kessang",delta7,0,25,262
AR,"Papum Pare",delta7,7,1055,3799
AR,"Shi Yomi",delta7,1,2,153
AR,Siang,delta7,0,40,197
AR,Tawang,delta7,12,91,759
AR,Tirap,delta7,0,35,631
AR,"Upper Dibang Valley",delta7,0,3,11
AR,"Upper Siang",delta7,0,38,411
AR,"Upper Subansiri",delta7,0,93,1122
AR,"West Kameng",delta7,1,206,1914
AR,"West Siang",delta7,0,63,640
AS,Baksa,delta7,0,2992,15169
AS,Barpeta,delta7,0,10495,48544
AS,Biswanath,delta7,0,5661,35727
AS,Bongaigaon,delta7,0,2784,18356
AS,Cachar,delta7,0,26826,21591
AS,Charaideo,delta7,0,1853,16868
AS,Chirang,delta7,0,2488,9573
AS,Darrang,delta7,0,17453,21800
AS,Dhemaji,delta7,0,3423,15318
AS,Dhubri,delta7,0,12450,25644
AS,Dibrugarh,delta7,0,8869,38695
AS,"Dima Hasao",delta7,0,2532,3737
AS,Goalpara,delta7,0,4013,30725
AS,Golaghat,delta7,0,6525,51417
AS,Hailakandi,delta7,0,1724,11247
AS,Hojai,delta7,0,6217,36724
AS,Jorhat,delta7,0,3383,39677
AS,Kamrup,delta7,0,10451,45828
AS,"Kamrup Metropolitan",delta7,0,6625,38155
AS,"Karbi Anglong",delta7,0,13744,12778
AS,Karimganj,delta7,0,5088,20659
AS,Kokrajhar,delta7,0,3935,19711
AS,Lakhimpur,delta7,0,5870,42164
AS,Majuli,delta7,0,1524,7176
AS,Morigaon,delta7,0,5298,27861
AS,Nagaon,delta7,0,16396,36734
AS,Nalbari,delta7,0,6785,25411
AS,Sivasagar,delta7,0,1946,23104
AS,Sonitpur,delta7,0,8341,48290
AS,"South Salmara Mankachar",delta7,0,1978,15304
AS,Tinsukia,delta7,0,45002,22410
AS,Udalguri,delta7,0,17371,19343
AS,Unknown,delta7,2056,0,0
AS,"West Karbi Anglong",delta7,0,4593,4186
BR,Araria,delta7,2,51331,69085
BR,Arwal,delta7,0,4059,17125
BR,Aurangabad,delta7,0,25561,56431
BR,Banka,delta7,0,24239,34077
BR,Begusarai,delta7,2,33903,65735
BR,Bhagalpur,delta7,1,49875,78088
BR,Bhojpur,delta7,0,31626,53006
BR,Buxar,delta7,0,14794,38792
BR,Darbhanga,delta7,0,39165,82276
BR,"East Champaran",delta7,2,29316,84760
BR,Gaya,delta7,0,72504,82490
BR,Gopalganj,delta7,0,31750,70093
BR,Jamui,delta7,0,24440,24005
BR,Jehanabad,delta7,0,12986,27200
BR,Kaimur,delta7,0,19996,28681
BR,Katihar,delta7,0,53448,75733
BR,Khagaria,delta7,0,15402,32372
BR,Kishanganj,delta7,4,24597,25592
BR,Lakhisarai,delta7,0,8894,16437
BR,Madhepura,delta7,1,28832,43563
BR,Madhubani,delta7,3,28535,69785
BR,Munger,delta7,0,7445,33005
BR,Muzaffarpur,delta7,0,40686,80513
BR,Nalanda,delta7,0,36716,66091
BR,Nawada,delta7,1,46619,35295
BR,Patna,delta7,14,35436,159875
BR,Purnia,delta7,0,61212,74531
BR,Rohtas,delta7,2,40918,59698
BR,Saharsa,delta7,0,106392,80718
BR,Samastipur,delta7,2,48167,64119
BR,Saran,delta7,5,41734,82407
BR,Sheikhpura,delta7,0,4942,10739
BR,Sheohar,delta7,0,2946,7111
BR,Sitamarhi,delta7,0,43474,60677
BR,Siwan,delta7,0,18385,69069
BR,Supaul,delta7,0,35486,71754
BR,Vaishali,delta7,1,45426,59038
BR,"West Champaran",delta7,0,42709,52019
CH,Chandigarh,delta7,28,3680,21641
CT,Balod,delta7,2,5983,9451
CT,"Baloda Bazar",delta7,0,25353,17419
CT,Balrampur,delta7,0,21912,17709
CT,Bametara,delta7,1,14367,7690
CT,Bastar,delta7,24,10696,9616
CT,Bijapur,delta7,5,1251,913
CT,Bilaspur,delta7,17,18318,50320
CT,"Dakshin Bastar Dantewada",delta7,6,2225,5410
CT,Dhamtari,delta7,2,6188,7319
CT,Durg,delta7,26,17012,22719
CT,Gariaband,delta7,1,9982,5872
CT,"Gaurela Pendra Marwahi",delta7,1,4045,4587
CT,"Janjgir Champa",delta7,19,45568,30991
CT,Jashpur,delta7,10,10933,13098
CT,Kabeerdham,delta7,1,17511,17876
CT,Kondagaon,delta7,4,8359,7999
CT,Korba,delta7,23,24033,24911
CT,Koriya,delta7,6,15621,5751
CT,Mahasamund,delta7,0,4416,72466
CT,Mungeli,delta7,1,15254,12880
CT,Narayanpur,delta7,0,3057,1858
CT,"Other State",delta7,4,0,0
CT,Raigarh,delta7,8,5114,122838
CT,Raipur,delta7,33,10441,40794
CT,Rajnandgaon,delta7,5,15753,25270
CT,Sukma,delta7,1,3208,5401
CT,Surajpur,delta7,0,13506,13873
CT,Surguja,delta7,2,29827,33226
CT,"Uttar Bastar Kanker",delta7,3,17930,14621
DL,Delhi,delta7,267,160323,269146
DN,"Dadra and Nagar Haveli",delta7,0,870,6759
DN,Daman,delta7,0,1880,6793
DN,Diu,delta7,0,52,690
