State_Code,District_Name,Population,First_Dose,Second_Dose,First_Dose_Percentage,Second_Dose_Percentage
TN,Mayiladuthurai,901000,0,0,0.0000,0.0000
MN,Senapati,354772,28777,20519,8.1114,5.7837
NL,Tuensang,414801,38277,27372,9.2278,6.5988
AR,"Kurung Kumey",89717,9148,5856,10.1965,6.5272
NL,Peren,163294,20146,13156,12.3373,8.0566
MN,Ukhrul,183115,22621,16792,12.3534,9.1702
MN,Tamenglong,140143,20158,11641,14.3839,8.3065
ML,"East Garo Hills",317618,48137,22072,15.1556,6.9492
NL,Kiphire,74033,13194,8622,17.8218,11.6462
MN,Chandel,144028,26737,16668,18.5638,11.5727
NL,Phek,163294,31361,21410,19.2052,13.1113
ML,"West Khasi Hills",385601,77462,44783,20.0886,11.6138
AR,"Lower Siang",80597,16602,10307,20.5988,12.7883
NL,Wokha,166239,35271,24883,21.2170,14.9682
AR,Lohit,145538,31341,23497,21.5346,16.1449
MN,Kamjong,45616,10706,6477,23.4698,14.1990
PB,Ferozepur,2026831,480956,132839,23.7295,6.5540
MN,Pherzawl,47250,12472,10651,26.3958,22.5418
NL,Mon,259604,70317,50223,27.0863,19.3460
NL,Zunheboto,141014,38444,23250,27.2625,16.4877
AR,Tirap,111997,31600,21831,28.2150,19.4925
ML,"South Garo Hills",142574,40445,20350,28.3677,14.2733
AR,"East Kameng",78413,23007,16056,29.3408,20.4762
AR,"Upper Subansiri",83205,24935,17512,29.9682,21.0468
CT,"Dakshin Bastar Dantewada",533638,160611,87564,30.0974,16.4089
AR,"West Siang",112272,33836,28507,30.1375,25.3910
UP,Moradabad,4773138,1446213,484638,30.2990,10.1534
ML,"South West Khasi Hills",110152,33433,17669,30.3517,16.0406
CT,Durg,3343079,1029871,549072,30.8061,16.4241
UP,Muzaffarnagar,4138605,1280460,507018,30.9394,12.2509
AS,"Karbi Anglong",965280,298686,115856,30.9429,12.0023
WB,Jalpaiguri,3869675,1207747,477622,31.2106,12.3427
AR,Kamle,22256,6982,4059,31.3713,18.2378
ML,"West Jaintia Hills",270352,84940,51126,31.4183,18.9109
UP,Sultanpur,3790922,1193159,402263,31.4741,10.6112
AR,Longding,60000,19305,8182,32.1750,13.6367
AR,"Lower Subansiri",82839,27003,19630,32.5970,23.6966
ML,"West Garo Hills",642923,211078,127850,32.8310,19.8857
MN,Thoubal,420517,141687,68875,33.6935,16.3786
HR,Nuh,1089406,367667,82453,33.7493,7.5686
